hsa,gene_name,gene_concept,year
hsa00010,HK3,gene_3101,1951
hsa00010,HK1,gene_3098,1945
hsa00010,HK2,gene_3099,1951
hsa00010,HKDC1,gene_80201,2008
hsa00010,GCK,gene_2645,1952
hsa00010,GPI,gene_2821,1952
hsa00010,PFKM,gene_5213,1982
hsa00010,PFKP,gene_5214,1966
hsa00010,PFKL,gene_5211,1935
hsa00010,FBP1,gene_2203,1986
hsa00010,FBP2,gene_8789,1948
hsa00010,ALDOC,gene_230,1968
hsa00010,ALDOA,gene_226,1969
hsa00010,ALDOB,gene_229,1983
hsa00010,TPI1,gene_7167,1952
hsa00010,GAPDH,gene_2597,1952
hsa00010,GAPDHS,gene_26330,1992
hsa00010,PGK2,gene_5232,1980
hsa00010,PGK1,gene_5230,1976
hsa00010,PGAM1,gene_5223,1981
hsa00010,PGAM2,gene_5224,1981
hsa00010,PGAM4,gene_441531,1987
hsa00010,ENO3,gene_2027,1976
hsa00010,ENO2,gene_2026,1974
hsa00010,ENO1,gene_2023,1958
hsa00010,PKM,gene_5315,1974
hsa00010,PKLR,gene_5313,1973
hsa00010,PDHA2,gene_5161,1990
hsa00010,PDHA1,gene_5160,1985
hsa00010,PDHB,gene_5162,1982
hsa00010,DLAT,gene_1737,1983
hsa00010,DLD,gene_1738,1910
hsa00010,LDHA,gene_3939,1964
hsa00010,LDHB,gene_3945,1964
hsa00010,LDHC,gene_3948,1969
hsa00010,ADH1A,gene_124,1955
hsa00010,ADH1B,gene_125,1973
hsa00010,ADH1C,gene_126,1972
hsa00010,ADH7,gene_131,1972
hsa00010,ADH4,gene_127,1983
hsa00010,ADH5,gene_128,1955
hsa00010,ADH6,gene_130,1979
hsa00010,AKR1A1,gene_10327,1938
hsa00010,ALDH2,gene_217,1982
hsa00010,ALDH3A2,gene_224,1985
hsa00010,ALDH1B1,gene_219,1985
hsa00010,ALDH7A1,gene_501,1954
hsa00010,ALDH9A1,gene_223,1959
hsa00010,ALDH3B1,gene_221,1988
hsa00010,ALDH3B2,gene_222,1985
hsa00010,ALDH3A1,gene_218,1981
hsa00010,ACSS1,gene_84532,2001
hsa00010,ACSS2,gene_55902,1959
hsa00010,GALM,gene_130589,1968
hsa00010,PGM1,gene_5236,1968
hsa00010,PGM2,gene_55276,1961
hsa00010,G6PC1,gene_2538,1948
hsa00010,G6PC2,gene_57818,1971
hsa00010,G6PC3,gene_92579,1990
hsa00010,ADPGK,gene_83440,2012
hsa00010,BPGM,gene_669,1965
hsa00010,MINPP1,gene_9562,1991
hsa00010,PCK1,gene_5105,1965
hsa00010,PCK2,gene_5106,1963
hsa00020,CS,gene_1431,1953
hsa00020,ACLY,gene_47,1963
hsa00020,ACO2,gene_50,1970
hsa00020,ACO1,gene_48,1976
hsa00020,IDH1,gene_3417,1972
hsa00020,IDH2,gene_3418,1976
hsa00020,IDH3A,gene_3419,1995
hsa00020,OGDHL,gene_55753,2007
hsa00020,OGDH,gene_4967,1967
hsa00020,DLST,gene_1743,1980
hsa00020,DLD,gene_1738,1910
hsa00020,SUCLG1,gene_8802,1976
hsa00020,SUCLG2,gene_8801,1977
hsa00020,SUCLA2,gene_8803,1978
hsa00020,SDHA,gene_6389,1988
hsa00020,SDHB,gene_6390,1962
hsa00020,SDHC,gene_6391,1997
hsa00020,SDHD,gene_6392,1977
hsa00020,FH,gene_2271,1928
hsa00020,MDH1,gene_4190,1967
hsa00020,MDH2,gene_4191,1964
hsa00020,PC,gene_5091,1950
hsa00020,PCK1,gene_5105,1965
hsa00020,PCK2,gene_5106,1963
hsa00020,PDHA2,gene_5161,1990
hsa00020,PDHA1,gene_5160,1985
hsa00020,PDHB,gene_5162,1982
hsa00020,DLAT,gene_1737,1983
hsa00051,MPI,gene_4351,1969
hsa00051,PMM2,gene_5373,1994
hsa00051,PMM1,gene_5372,1997
hsa00051,GMPPB,gene_29925,2013
hsa00051,GMPPA,gene_29926,2012
hsa00051,GMDS,gene_2762,1979
hsa00051,GFUS,gene_7264,1988
hsa00051,FPGT,gene_8790,1998
hsa00051,ENOSF1,gene_55556,1992
hsa00051,HK3,gene_3101,1951
hsa00051,HK1,gene_3098,1945
hsa00051,HK2,gene_3099,1951
hsa00051,HKDC1,gene_80201,2008
hsa00051,PFKM,gene_5213,1982
hsa00051,PFKP,gene_5214,1966
hsa00051,PFKL,gene_5211,1935
hsa00051,FBP1,gene_2203,1986
hsa00051,FBP2,gene_8789,1948
hsa00051,PFKFB1,gene_5207,1980
hsa00051,PFKFB2,gene_5208,1997
hsa00051,PFKFB3,gene_5209,1984
hsa00051,PFKFB4,gene_5210,1999
hsa00051,TIGAR,gene_57103,2001
hsa00051,KHK,gene_3795,1947
hsa00051,SORD,gene_6652,1957
hsa00051,AKR1B1,gene_231,1960
hsa00051,AKR1B10,gene_57016,1993
hsa00051,ALDOC,gene_230,1968
hsa00051,ALDOA,gene_226,1969
hsa00051,ALDOB,gene_229,1983
hsa00051,TPI1,gene_7167,1952
hsa00051,TKFC,gene_26007,1970
hsa00052,GALM,gene_130589,1968
hsa00052,GALK1,gene_2584,1948
hsa00052,GALT,gene_2592,1931
hsa00052,GALE,gene_2582,1930
hsa00052,UGP2,gene_7360,1963
hsa00052,PGM1,gene_5236,1968
hsa00052,PGM2,gene_55276,1961
hsa00052,HK3,gene_3101,1951
hsa00052,HK1,gene_3098,1945
hsa00052,HK2,gene_3099,1951
hsa00052,HKDC1,gene_80201,2008
hsa00052,GCK,gene_2645,1952
hsa00052,G6PC1,gene_2538,1948
hsa00052,G6PC2,gene_57818,1971
hsa00052,G6PC3,gene_92579,1990
hsa00052,GLB1,gene_2720,1952
hsa00052,LCT,gene_3938,1804
hsa00052,LALBA,gene_3906,1955
hsa00052,B4GALT1,gene_2683,1974
hsa00052,GLA,gene_2717,1951
hsa00052,AKR1B1,gene_231,1960
hsa00052,AKR1B10,gene_57016,1993
hsa00052,PFKM,gene_5213,1982
hsa00052,PFKP,gene_5214,1966
hsa00052,PFKL,gene_5211,1935
hsa00052,MGAM,gene_8972,1980
hsa00052,GAA,gene_2548,1967
hsa00052,GANC,gene_2595,1980
hsa00052,SI,gene_6476,1940
hsa00071,ACAT2,gene_39,1973
hsa00071,ACAT1,gene_38,1973
hsa00071,ACAA1,gene_30,1979
hsa00071,ACAA2,gene_10449,1993
hsa00071,HADHB,gene_3032,1974
hsa00071,HADH,gene_3033,1972
hsa00071,HADHA,gene_3030,1976
hsa00071,EHHADH,gene_1962,1974
hsa00071,ECHS1,gene_1892,1993
hsa00071,ACOX3,gene_8310,1990
hsa00071,ACOX1,gene_51,1970
hsa00071,ACADS,gene_35,1973
hsa00071,ACADM,gene_34,1983
hsa00071,ACADL,gene_33,1987
hsa00071,ACADSB,gene_36,1990
hsa00071,ACADVL,gene_37,1993
hsa00071,GCDH,gene_2639,1975
hsa00071,ACSL6,gene_23305,1999
hsa00071,ACSL4,gene_2182,1996
hsa00071,ACSL1,gene_2180,1957
hsa00071,ACSL5,gene_51703,1998
hsa00071,ACSL3,gene_2181,1997
hsa00071,ACSBG1,gene_23205,1968
hsa00071,ACSBG2,gene_81616,2002
hsa00071,CPT1A,gene_1374,1990
hsa00071,CPT1B,gene_1375,1979
hsa00071,CPT1C,gene_126129,1994
hsa00071,CPT2,gene_1376,1973
hsa00071,ECI1,gene_1632,1979
hsa00071,ECI2,gene_10455,1999
hsa00071,CYP2U1,gene_113612,2002
hsa00071,ADH1A,gene_124,1955
hsa00071,ADH1B,gene_125,1973
hsa00071,ADH1C,gene_126,1972
hsa00071,ADH7,gene_131,1972
hsa00071,ADH4,gene_127,1983
hsa00071,ADH5,gene_128,1955
hsa00071,ADH6,gene_130,1979
hsa00071,ALDH2,gene_217,1982
hsa00071,ALDH3A2,gene_224,1985
hsa00071,ALDH1B1,gene_219,1985
hsa00071,ALDH7A1,gene_501,1954
hsa00071,ALDH9A1,gene_223,1959
hsa00100,FDFT1,gene_2222,1972
hsa00100,SQLE,gene_6713,1963
hsa00100,LSS,gene_4047,1977
hsa00100,CYP51A1,gene_1595,1983
hsa00100,TM7SF2,gene_7108,1998
hsa00100,LBR,gene_3930,1967
hsa00100,MSMO1,gene_6307,1996
hsa00100,NSDHL,gene_50814,1999
hsa00100,HSD17B7,gene_51478,1991
hsa00100,EBP,gene_10682,1964
hsa00100,DHCR24,gene_1718,1975
hsa00100,SC5D,gene_6309,1982
hsa00100,DHCR7,gene_1717,1995
hsa00100,LIPA,gene_3988,1967
hsa00100,CEL,gene_1056,1948
hsa00100,SOAT2,gene_8435,1994
hsa00100,SOAT1,gene_6646,1981
hsa00100,CYP2R1,gene_120227,1979
hsa00100,CYP27B1,gene_1594,1977
hsa00100,CYP24A1,gene_1591,1982
hsa00130,TAT,gene_6898,1949
hsa00130,COQ2,gene_27235,1978
hsa00130,COQ6,gene_51004,1991
hsa00130,COQ5,gene_84274,2013
hsa00130,COQ7,gene_10229,1975
hsa00130,NQO1,gene_1728,1959
hsa00130,GGCX,gene_2677,1988
hsa00130,VKORC1,gene_79001,1978
hsa00130,VKORC1L1,gene_154807,2007
hsa00130,HPD,gene_3242,1975
hsa00140,CYP11A1,gene_1583,1976
hsa00140,CYP17A1,gene_1586,1986
hsa00140,STS,gene_412,1954
hsa00140,SULT2B1,gene_6820,1998
hsa00140,CYP21A2,gene_1589,1960
hsa00140,HSD3B1,gene_3283,1960
hsa00140,HSD3B2,gene_3284,1990
hsa00140,SRD5A1,gene_6715,1991
hsa00140,SRD5A2,gene_6716,1991
hsa00140,SRD5A3,gene_79644,2007
hsa00140,AKR1C2,gene_1646,1974
hsa00140,AKR1C3,gene_8644,1976
hsa00140,CYP11B1,gene_1584,1965
hsa00140,CYP11B2,gene_1585,1981
hsa00140,AKR1D1,gene_6718,1988
hsa00140,AKR1C4,gene_1109,1971
hsa00140,HSD11B1,gene_3290,1993
hsa00140,HSD11B1L,gene_374875,1994
hsa00140,HSD11B2,gene_3291,1973
hsa00140,AKR1C1,gene_1645,1980
hsa00140,CYP7B1,gene_9420,1998
hsa00140,SULT1E1,gene_6783,1947
hsa00140,HSD17B1,gene_3292,1967
hsa00140,HSD17B2,gene_3294,1965
hsa00140,HSD17B6,gene_8630,1965
hsa00140,HSD17B7,gene_51478,1991
hsa00140,HSD17B8,gene_7923,1995
hsa00140,HSD17B12,gene_51144,2005
hsa00140,CYP1A1,gene_1543,1975
hsa00140,CYP1A2,gene_1544,1972
hsa00140,CYP3A5,gene_1577,1985
hsa00140,CYP3A7,gene_1551,1974
hsa00140,CYP2E1,gene_1571,1984
hsa00140,CYP3A4,gene_1576,1986
hsa00140,CYP1B1,gene_1545,1969
hsa00140,CYP19A1,gene_1588,1964
hsa00140,CYP7A1,gene_1581,1968
hsa00140,HSD17B11,gene_51170,1999
hsa00140,UGT2A1,gene_10941,1999
hsa00140,UGT2A3,gene_79799,1999
hsa00140,UGT2B17,gene_7367,1996
hsa00140,UGT2B11,gene_10720,1993
hsa00140,UGT2B28,gene_54490,2001
hsa00140,UGT1A6,gene_54578,1987
hsa00140,UGT1A4,gene_54657,1981
hsa00140,UGT1A1,gene_54658,1978
hsa00140,UGT1A3,gene_54659,1996
hsa00140,UGT2B10,gene_7365,1993
hsa00140,UGT1A9,gene_54600,1991
hsa00140,UGT2B7,gene_7364,1990
hsa00140,UGT1A10,gene_54575,1997
hsa00140,UGT1A8,gene_54576,1997
hsa00140,UGT1A5,gene_54579,1996
hsa00140,UGT2B15,gene_7366,1990
hsa00140,UGT1A7,gene_54577,1993
hsa00140,UGT2B4,gene_7363,1985
hsa00140,UGT2A2,gene_574537,2005
hsa00140,COMT,gene_1312,1958
hsa00140,LRTOMT,gene_220074,2006
hsa00140,HSD17B3,gene_3293,1975
hsa00230,NUDT9,gene_53343,1980
hsa00230,NUDT5,gene_11164,1999
hsa00230,PGM1,gene_5236,1968
hsa00230,PGM2,gene_55276,1961
hsa00230,PRPS2,gene_5634,1980
hsa00230,PRPS1,gene_5631,1980
hsa00230,PPAT,gene_5471,1958
hsa00230,GART,gene_2618,1871
hsa00230,PFAS,gene_5198,1969
hsa00230,PAICS,gene_10606,1987
hsa00230,ADSL,gene_158,1956
hsa00230,ATIC,gene_471,1916
hsa00230,APRT,gene_353,1964
hsa00230,NT5C2,gene_22978,1966
hsa00230,NT5C1A,gene_84618,1975
hsa00230,NT5C1B,gene_93034,1971
hsa00230,NT5C,gene_30833,1975
hsa00230,NT5M,gene_56953,1981
hsa00230,NT5E,gene_4907,1938
hsa00230,PNP,gene_4860,1953
hsa00230,LACC1,gene_144811,2009
hsa00230,HPRT1,gene_3251,1967
hsa00230,IMPDH1,gene_3614,1961
hsa00230,IMPDH2,gene_3615,1993
hsa00230,NME6,gene_10201,1999
hsa00230,NME7,gene_29922,2005
hsa00230,NME2,gene_4831,1977
hsa00230,NME4,gene_4833,1976
hsa00230,NME1,gene_4830,1980
hsa00230,NME3,gene_4832,1987
hsa00230,ENTPD3,gene_956,1992
hsa00230,ENTPD8,gene_377841,2000
hsa00230,ENTPD1,gene_953,1988
hsa00230,CANT1,gene_124583,1985
hsa00230,ENTPD4,gene_9583,1970
hsa00230,ENTPD5,gene_957,1961
hsa00230,ENTPD6,gene_955,1998
hsa00230,NUDT16,gene_131870,1976
hsa00230,ITPA,gene_3704,1963
hsa00230,XDH,gene_7498,1950
hsa00230,NUDT2,gene_318,1983
hsa00230,GMPS,gene_8833,1967
hsa00230,GMPR,gene_2766,1975
hsa00230,GMPR2,gene_51292,2002
hsa00230,GDA,gene_9615,1950
hsa00230,GUK1,gene_2987,1971
hsa00230,RRM1,gene_6240,1980
hsa00230,RRM2B,gene_50484,2000
hsa00230,RRM2,gene_6241,1975
hsa00230,DGUOK,gene_1716,1985
hsa00230,DCK,gene_1633,1968
hsa00230,PRUNE1,gene_58497,1978
hsa00230,ADCY1,gene_107,1962
hsa00230,ADCY2,gene_108,1967
hsa00230,ADCY3,gene_109,1921
hsa00230,ADCY4,gene_196883,1968
hsa00230,ADCY5,gene_111,1984
hsa00230,ADCY6,gene_112,1984
hsa00230,ADCY7,gene_113,1984
hsa00230,ADCY8,gene_114,1984
hsa00230,ADCY9,gene_115,1984
hsa00230,ADCY10,gene_55811,1975
hsa00230,GUCY1A1,gene_2982,1993
hsa00230,GUCY2C,gene_2984,1978
hsa00230,GUCY2D,gene_3000,1966
hsa00230,GUCY2F,gene_2986,1995
hsa00230,NPR1,gene_4881,1981
hsa00230,NPR2,gene_4882,1987
hsa00230,PDE1A,gene_5136,1996
hsa00230,PDE1B,gene_5153,1992
hsa00230,PDE1C,gene_5137,1996
hsa00230,PDE2A,gene_5138,1990
hsa00230,PDE3A,gene_5139,1992
hsa00230,PDE3B,gene_5140,1966
hsa00230,PDE5A,gene_8654,1987
hsa00230,PDE6A,gene_5145,1976
hsa00230,PDE6B,gene_5158,1976
hsa00230,PDE6C,gene_5146,1978
hsa00230,PDE6D,gene_5147,1990
hsa00230,PDE6H,gene_5149,1993
hsa00230,PDE9A,gene_5152,1998
