hsa,gene_name,gene_concept,year
hsa00010,HK3,gene_3101,1951
hsa00010,HK1,gene_3098,1945
hsa00010,HK2,gene_3099,1951
hsa00010,GCK,gene_2645,1952
hsa00010,GPI,gene_2821,1952
hsa00010,PFKM,gene_5213,1982
hsa00010,PFKL,gene_5211,1935
hsa00010,FBP1,gene_2203,1986
hsa00010,ALDOA,gene_226,1969
hsa00010,TPI1,gene_7167,1952
hsa00010,GAPDH,gene_2597,1952
hsa00010,PGK2,gene_5232,1980
hsa00010,PGK1,gene_5230,1976
hsa00010,PGAM2,gene_5224,1981
hsa00010,ENO3,gene_2027,1976
hsa00010,ENO2,gene_2026,1974
hsa00010,ENO1,gene_2023,1958
hsa00010,PKM,gene_5315,1974
hsa00010,PKLR,gene_5313,1973
hsa00010,PDHA1,gene_5160,1985
hsa00010,DLAT,gene_1737,1983
hsa00010,DLD,gene_1738,1910
hsa00010,LDHA,gene_3939,1964
hsa00010,LDHB,gene_3945,1964
hsa00010,LDHC,gene_3948,1969
hsa00010,ADH1A,gene_124,1955
hsa00010,ADH1B,gene_125,1973
hsa00010,ADH1C,gene_126,1972
hsa00010,ADH7,gene_131,1972
hsa00010,ADH5,gene_128,1955
hsa00010,AKR1A1,gene_10327,1938
hsa00010,ALDH2,gene_217,1982
hsa00010,ALDH7A1,gene_501,1954
hsa00010,ALDH3A1,gene_218,1981
hsa00010,PGM1,gene_5236,1968
hsa00010,PGM2,gene_55276,1961
hsa00010,G6PC1,gene_2538,1948
hsa00010,BPGM,gene_669,1965
hsa00010,PCK1,gene_5105,1965
hsa00010,PCK2,gene_5106,1963
hsa00020,CS,gene_1431,1953
hsa00020,ACLY,gene_47,1963
hsa00020,ACO2,gene_50,1970
hsa00020,ACO1,gene_48,1976
hsa00020,IDH1,gene_3417,1972
hsa00020,OGDH,gene_4967,1967
hsa00020,DLST,gene_1743,1980
hsa00020,DLD,gene_1738,1910
hsa00020,SUCLG2,gene_8801,1977
hsa00020,SDHB,gene_6390,1962
hsa00020,FH,gene_2271,1928
hsa00020,MDH1,gene_4190,1967
hsa00020,MDH2,gene_4191,1964
hsa00020,PC,gene_5091,1950
hsa00020,PCK1,gene_5105,1965
hsa00020,PCK2,gene_5106,1963
hsa00020,PDHA1,gene_5160,1985
hsa00020,DLAT,gene_1737,1983
hsa00051,MPI,gene_4351,1969
hsa00051,HK3,gene_3101,1951
hsa00051,HK1,gene_3098,1945
hsa00051,HK2,gene_3099,1951
hsa00051,PFKM,gene_5213,1982
hsa00051,PFKL,gene_5211,1935
hsa00051,FBP1,gene_2203,1986
hsa00051,PFKFB3,gene_5209,1984
hsa00051,KHK,gene_3795,1947
hsa00051,SORD,gene_6652,1957
hsa00051,AKR1B1,gene_231,1960
hsa00051,ALDOA,gene_226,1969
hsa00051,TPI1,gene_7167,1952
hsa00052,GALK1,gene_2584,1948
hsa00052,GALT,gene_2592,1931
hsa00052,GALE,gene_2582,1930
hsa00052,UGP2,gene_7360,1963
hsa00052,PGM1,gene_5236,1968
hsa00052,PGM2,gene_55276,1961
hsa00052,HK3,gene_3101,1951
hsa00052,HK1,gene_3098,1945
hsa00052,HK2,gene_3099,1951
hsa00052,GCK,gene_2645,1952
hsa00052,G6PC1,gene_2538,1948
hsa00052,GLB1,gene_2720,1952
hsa00052,LCT,gene_3938,1804
hsa00052,LALBA,gene_3906,1955
hsa00052,B4GALT1,gene_2683,1974
hsa00052,GLA,gene_2717,1951
hsa00052,AKR1B1,gene_231,1960
hsa00052,PFKM,gene_5213,1982
hsa00052,PFKL,gene_5211,1935
hsa00052,MGAM,gene_8972,1980
hsa00052,GAA,gene_2548,1967
hsa00052,SI,gene_6476,1940
hsa00071,ACAT1,gene_38,1973
hsa00071,ACAA1,gene_30,1979
hsa00071,HADH,gene_3033,1972
hsa00071,HADHA,gene_3030,1976
hsa00071,EHHADH,gene_1962,1974
hsa00071,ACOX1,gene_51,1970
hsa00071,ACADS,gene_35,1973
hsa00071,ACADM,gene_34,1983
hsa00071,ACADL,gene_33,1987
hsa00071,ACADVL,gene_37,1993
hsa00071,GCDH,gene_2639,1975
hsa00071,ACSBG1,gene_23205,1968
hsa00071,CPT1B,gene_1375,1979
hsa00071,CPT2,gene_1376,1973
hsa00071,ADH1A,gene_124,1955
hsa00071,ADH1B,gene_125,1973
hsa00071,ADH1C,gene_126,1972
hsa00071,ADH7,gene_131,1972
hsa00071,ADH5,gene_128,1955
hsa00071,ALDH2,gene_217,1982
hsa00071,ALDH7A1,gene_501,1954
hsa00100,FDFT1,gene_2222,1972
hsa00100,SQLE,gene_6713,1963
hsa00100,CYP51A1,gene_1595,1983
hsa00100,LBR,gene_3930,1967
hsa00100,EBP,gene_10682,1964
hsa00100,LIPA,gene_3988,1967
hsa00100,CEL,gene_1056,1948
hsa00100,SOAT1,gene_6646,1981
hsa00100,CYP27B1,gene_1594,1977
hsa00100,CYP24A1,gene_1591,1982
hsa00130,TAT,gene_6898,1949
hsa00130,COQ2,gene_27235,1978
hsa00130,NQO1,gene_1728,1959
hsa00130,HPD,gene_3242,1975
hsa00140,CYP11A1,gene_1583,1976
hsa00140,CYP17A1,gene_1586,1986
hsa00140,STS,gene_412,1954
hsa00140,CYP21A2,gene_1589,1960
hsa00140,HSD3B1,gene_3283,1960
hsa00140,AKR1C2,gene_1646,1974
hsa00140,CYP11B1,gene_1584,1965
hsa00140,CYP11B2,gene_1585,1981
hsa00140,AKR1C4,gene_1109,1971
hsa00140,HSD11B2,gene_3291,1973
hsa00140,AKR1C1,gene_1645,1980
hsa00140,SULT1E1,gene_6783,1947
hsa00140,HSD17B1,gene_3292,1967
hsa00140,HSD17B2,gene_3294,1965
hsa00140,HSD17B6,gene_8630,1965
hsa00140,CYP1A1,gene_1543,1975
hsa00140,CYP1A2,gene_1544,1972
hsa00140,CYP3A5,gene_1577,1985
hsa00140,CYP3A7,gene_1551,1974
hsa00140,CYP2E1,gene_1571,1984
hsa00140,CYP3A4,gene_1576,1986
hsa00140,CYP1B1,gene_1545,1969
hsa00140,CYP19A1,gene_1588,1964
hsa00140,CYP7A1,gene_1581,1968
hsa00140,UGT1A6,gene_54578,1987
hsa00140,UGT1A4,gene_54657,1981
hsa00140,UGT1A1,gene_54658,1978
hsa00140,UGT2B7,gene_7364,1990
hsa00140,UGT2B4,gene_7363,1985
hsa00140,COMT,gene_1312,1958
hsa00230,PGM1,gene_5236,1968
hsa00230,PGM2,gene_55276,1961
hsa00230,PRPS2,gene_5634,1980
hsa00230,PRPS1,gene_5631,1980
hsa00230,PPAT,gene_5471,1958
hsa00230,GART,gene_2618,1871
hsa00230,ADSL,gene_158,1956
hsa00230,ATIC,gene_471,1916
hsa00230,APRT,gene_353,1964
hsa00230,NT5C2,gene_22978,1966
hsa00230,NT5C1A,gene_84618,1975
hsa00230,NT5C,gene_30833,1975
hsa00230,NT5E,gene_4907,1938
hsa00230,PNP,gene_4860,1953
hsa00230,HPRT1,gene_3251,1967
hsa00230,IMPDH1,gene_3614,1961
hsa00230,NME2,gene_4831,1977
hsa00230,NME4,gene_4833,1976
hsa00230,NME1,gene_4830,1980
hsa00230,ENTPD1,gene_953,1988
hsa00230,ENTPD5,gene_957,1961
hsa00230,ITPA,gene_3704,1963
hsa00230,XDH,gene_7498,1950
hsa00230,GMPS,gene_8833,1967
hsa00230,GDA,gene_9615,1950
hsa00230,GUK1,gene_2987,1971
hsa00230,RRM1,gene_6240,1980
hsa00230,RRM2,gene_6241,1975
hsa00230,DCK,gene_1633,1968
hsa00230,ADCY1,gene_107,1962
hsa00230,ADCY2,gene_108,1967
hsa00230,ADCY3,gene_109,1921
hsa00230,ADCY4,gene_196883,1968
hsa00230,ADCY7,gene_113,1984
hsa00230,ADCY8,gene_114,1984
hsa00230,ADCY10,gene_55811,1975
hsa00230,GUCY2C,gene_2984,1978
hsa00230,GUCY2D,gene_3000,1966
hsa00230,NPR1,gene_4881,1981
hsa00230,NPR2,gene_4882,1987
hsa00230,PDE2A,gene_5138,1990
hsa00230,PDE3A,gene_5139,1992
hsa00230,PDE3B,gene_5140,1966
hsa00230,PDE6A,gene_5145,1976
hsa00230,PDE6B,gene_5158,1976
hsa00230,AMPD3,gene_272,1963
hsa00230,AMPD1,gene_270,1975
hsa00230,ADK,gene_132,1967
hsa00230,ADA,gene_100,1942
hsa00230,ADA2,gene_51816,1915
hsa00230,AK2,gene_204,1963
hsa00230,AK1,gene_203,1951
hsa00230,AK3,gene_50808,1976
hsa00230,ENPP1,gene_5167,1987
hsa00230,ENPP3,gene_5169,1956
hsa00230,PDE4A,gene_5141,1994
hsa00230,FHIT,gene_2272,1986
hsa00230,ALLC,gene_55821,1966
hsa00232,CYP1A2,gene_1544,1972
hsa00232,NAT2,gene_10,1979
hsa00232,NAT1,gene_9,1988
hsa00232,CYP2A6,gene_1548,1968
hsa00232,XDH,gene_7498,1950
hsa00240,UMPS,gene_7372,1967
hsa00240,CMPK1,gene_51727,1965
hsa00240,CMPK2,gene_129607,1968
hsa00240,NME2,gene_4831,1977
hsa00240,NME4,gene_4833,1976
hsa00240,NME1,gene_4830,1980
hsa00240,ENTPD1,gene_953,1988
hsa00240,ENTPD5,gene_957,1961
hsa00240,ENPP1,gene_5167,1987
hsa00240,ENPP3,gene_5169,1956
hsa00240,UCK2,gene_7371,1962
hsa00240,NT5C2,gene_22978,1966
hsa00240,NT5C1A,gene_84618,1975
hsa00240,NT5C,gene_30833,1975
hsa00240,NT5E,gene_4907,1938
hsa00240,UPP1,gene_7378,1968
hsa00240,NT5C3A,gene_51251,1931
hsa00240,CDA,gene_978,1966
hsa00240,RRM1,gene_6240,1980
hsa00240,RRM2,gene_6241,1975
hsa00240,DCK,gene_1633,1968
hsa00240,DCTD,gene_1635,1961
hsa00240,DTYMK,gene_1841,1964
hsa00240,TYMP,gene_1890,1967
hsa00240,TK2,gene_7084,1975
hsa00240,TK1,gene_7083,1976
hsa00240,TYMS,gene_7298,1960
hsa00240,DPYD,gene_1806,1957
hsa00240,DPYS,gene_1807,1947
hsa00260,SHMT2,gene_6472,1957
hsa00260,SHMT1,gene_6470,1979
hsa00260,AGXT,gene_189,1922
hsa00260,GRHPR,gene_9380,1962
hsa00260,PGAM2,gene_5224,1981
hsa00260,BPGM,gene_669,1965
hsa00260,PHGDH,gene_26227,1967
hsa00260,ALAS1,gene_211,1954
hsa00260,ALAS2,gene_212,1989
hsa00260,MAOB,gene_4129,1928
hsa00260,MAOA,gene_4128,1978
hsa00260,AOC3,gene_8639,1992
hsa00260,AOC2,gene_314,1967
hsa00260,GLDC,gene_2731,1973
hsa00260,AMT,gene_275,1969
hsa00260,DLD,gene_1738,1910
hsa00260,DAO,gene_1610,1940
hsa00260,GATM,gene_2628,1956
hsa00260,CHDH,gene_55349,1926
hsa00260,ALDH7A1,gene_501,1954
hsa00260,CBS,gene_875,1971
hsa00260,CTH,gene_1491,1952
hsa00260,SDS,gene_10993,1965
hsa00260,SRR,gene_63826,1972
hsa00270,CTH,gene_1491,1952
hsa00270,KYAT1,gene_883,1976
hsa00270,CBS,gene_875,1971
hsa00270,MTR,gene_4548,1976
hsa00270,MAT1A,gene_4143,1941
hsa00270,AMD1,gene_262,1982
hsa00270,SRM,gene_6723,1977
hsa00270,SMS,gene_6611,1982
hsa00270,MTAP,gene_4507,1978
hsa00270,TAT,gene_6898,1949
hsa00270,IL4I1,gene_259307,1945
hsa00270,AHCY,gene_191,1977
hsa00270,GCLC,gene_2729,1960
hsa00270,GSS,gene_2937,1955
hsa00270,GOT1,gene_2805,1975
hsa00270,GOT2,gene_2806,1956
hsa00270,MPST,gene_4357,1974
hsa00270,TST,gene_7263,1975
hsa00270,LDHA,gene_3939,1964
hsa00270,LDHB,gene_3945,1964
hsa00270,LDHC,gene_3948,1969
hsa00270,MDH1,gene_4190,1967
hsa00270,MDH2,gene_4191,1964
hsa00270,SDS,gene_10993,1965
hsa00270,PHGDH,gene_26227,1967
hsa00310,ALDH7A1,gene_501,1954
hsa00310,DLST,gene_1743,1980
hsa00310,DLD,gene_1738,1910
hsa00310,GCDH,gene_2639,1975
hsa00310,HADHA,gene_3030,1976
hsa00310,EHHADH,gene_1962,1974
hsa00310,HADH,gene_3033,1972
hsa00310,ACAT1,gene_38,1973
hsa00310,KMT2A,gene_4297,1986
hsa00310,SETD1A,gene_9739,1975
hsa00310,EHMT1,gene_79813,1984
hsa00310,SETD2,gene_29072,1967
hsa00310,MECOM,gene_2122,1989
hsa00310,ALDH2,gene_217,1982
hsa00310,BBOX1,gene_8424,1964
hsa00310,PLOD1,gene_5351,1975
hsa00330,GATM,gene_2628,1956
hsa00330,CKM,gene_1158,1959
hsa00330,CKB,gene_1152,1975
hsa00330,AZIN2,gene_113451,1946
hsa00330,ODC1,gene_4953,1968
hsa00330,SRM,gene_6723,1977
hsa00330,SMS,gene_6611,1982
hsa00330,AMD1,gene_262,1982
hsa00330,AOC1,gene_26,1932
hsa00330,SMOX,gene_54498,1955
hsa00330,ALDH2,gene_217,1982
hsa00330,ALDH7A1,gene_501,1954
hsa00330,CNDP1,gene_84735,1969
hsa00330,CNDP2,gene_55748,1969
hsa00330,SAT2,gene_112483,1973
hsa00330,SAT1,gene_6303,1963
hsa00330,MAOB,gene_4129,1928
hsa00330,MAOA,gene_4128,1978
hsa00330,NOS1,gene_4842,1966
hsa00330,NOS2,gene_4843,1935
hsa00330,NOS3,gene_4846,1976
hsa00330,ARG2,gene_384,1971
hsa00330,ARG1,gene_383,1973
hsa00330,OAT,gene_4942,1957
hsa00330,PYCR1,gene_5831,1975
hsa00330,LAP3,gene_51056,1962
hsa00330,GOT1,gene_2805,1975
hsa00330,GOT2,gene_2806,1956
hsa00330,DAO,gene_1610,1940
hsa00340,HAL,gene_3034,1831
hsa00340,HDC,gene_3067,1948
hsa00340,AOC1,gene_26,1932
hsa00340,ALDH2,gene_217,1982
hsa00340,ALDH7A1,gene_501,1954
hsa00340,ASPA,gene_443,1962
hsa00340,HNMT,gene_3176,1970
hsa00340,MAOB,gene_4129,1928
hsa00340,MAOA,gene_4128,1978
hsa00340,ALDH3A1,gene_218,1981
hsa00340,CNDP2,gene_55748,1969
hsa00340,CNDP1,gene_84735,1969
hsa00350,GOT1,gene_2805,1975
hsa00350,GOT2,gene_2806,1956
hsa00350,TAT,gene_6898,1949
hsa00350,IL4I1,gene_259307,1945
hsa00350,HPD,gene_3242,1975
hsa00350,HGD,gene_3081,1955
hsa00350,FAH,gene_2184,1973
hsa00350,TYR,gene_7299,1906
hsa00350,TH,gene_7054,1965
hsa00350,DCT,gene_1638,1969
hsa00350,TYRP1,gene_7306,1973
hsa00350,DDC,gene_1644,1947
hsa00350,DBH,gene_1621,1964
hsa00350,PNMT,gene_5409,1967
hsa00350,COMT,gene_1312,1958
hsa00350,MAOB,gene_4129,1928
hsa00350,MAOA,gene_4128,1978
hsa00350,AOC3,gene_8639,1992
hsa00350,AOC2,gene_314,1967
hsa00350,ALDH3A1,gene_218,1981
hsa00350,ADH1A,gene_124,1955
